Date,Open,High,Low,Close,FormattedDate
Jul-05,13,14,11.25,12.46,01/07/2005
Aug-05,12.58,14.88,12.55,13.42,01/08/2005
Sep-05,13.48,14.87,12.27,13.3,01/09/2005
Oct-05,13.2,14.47,12.4,12.99,01/10/2005
Nov-05,13.35,13.88,12.88,13.41,01/11/2005
Dec-05,13.49,14.44,13,13.71,01/12/2005
Jan-06,13.68,17.16,13.58,15.33,01/01/2006
Feb-06,15.5,16.97,15.4,16.12,01/02/2006
Mar-06,16.2,20.95,16.02,20.08,01/03/2006
Apr-06,20.56,20.8,18.02,19.49,01/04/2006
May-06,19.8,21.8,15.8,18.03,01/05/2006
Jun-06,18.2,18.4,13.4,15.62,01/06/2006
Jul-06,16,17.2,13.82,16.16,01/07/2006
Aug-06,15.9,18.6,15.7,17.84,01/08/2006
Sep-06,18,18.88,16.8,18.46,01/09/2006
Oct-06,18.78,24.2,18.5,22.78,01/10/2006
Nov-06,22.8,28.47,21.4,25.32,01/11/2006
Dec-06,25.4,29.66,24.4,26.97,01/12/2006
Jan-07,27.4,34.16,27,30.16,01/01/2007
Feb-07,30.2,32.6,26.8,28.63,01/02/2007
Mar-07,29.3,31.58,23.31,28.14,01/03/2007
Apr-07,27,31.99,26.2,30.31,01/04/2007
May-07,30.66,36.14,29.11,33.51,01/05/2007
Jun-07,33.89,36.38,30.4,35.98,01/06/2007
Jul-07,35.98,41.04,35.02,37.93,01/07/2007
Aug-07,37.5,39,30.2,36.99,01/08/2007
Sep-07,37.4,41.75,35.3,41.36,01/09/2007
Oct-07,41.8,47.3,33.6,43.48,01/10/2007
Nov-07,44.4,50.98,40.02,46.18,01/11/2007
Dec-07,46.4,54,45,49.81,01/12/2007
Jan-08,49.99,55.56,30.24,50.54,01/01/2008
Feb-08,50.88,53.97,44.4,49.42,01/02/2008
Mar-08,48.9,48.9,24.11,33.75,01/03/2008
Apr-08,33.9,35.8,28.51,34.06,01/04/2008
May-08,34.3,36.88,30.03,31.13,01/05/2008
Jun-08,31.22,32.22,22.62,22.85,01/06/2008
Jul-08,22.85,30.5,20.4,25.45,01/07/2008
Aug-08,25,28.98,24.62,26.83,01/08/2008
Sep-08,26.68,29.8,21.7,24.13,01/09/2008
Oct-08,24.6,25,11.01,13.58,01/10/2008
Nov-08,14.79,17.8,11.25,12.26,01/11/2008
Dec-08,12.4,16.56,11.13,15.03,01/12/2008
Jan-09,15.28,18.34,11.48,12.24,01/01/2009
Feb-09,12.19,12.5,9.9,10.26,01/02/2009
Mar-09,10,11.24,8.16,9.98,01/03/2009
Apr-09,10.04,17.51,9.94,15.45,01/04/2009
May-09,15.94,28.84,14.76,25.12,01/05/2009
Jun-09,25.6,31.08,23,29.68,01/06/2009
Jul-09,29.7,33.16,24.83,31.93,01/07/2009
Aug-09,31.98,35.18,29,33.45,01/08/2009
Sep-09,33.8,41.3,32,40.99,01/09/2009
Oct-09,41.2,52.34,36.8,47.31,01/10/2009
Nov-09,46.58,54.98,42.84,50.57,01/11/2009
Dec-09,50.98,55.67,48.6,53.41,01/12/2009
Jan-10,53.6,57.58,46.42,49.84,01/01/2010
Feb-10,49,51.48,44.6,47.32,01/02/2010
Mar-10,47.8,52.06,47.3,50.97,01/03/2010
Apr-10,50.67,59.48,48.8,57.1,01/04/2010
May-10,56.94,58.08,50.66,57.57,01/05/2010
Jun-10,56.7,59.9,52.6,53.83,01/06/2010
Jul-10,53.55,60.94,53.02,58.99,01/07/2010
Aug-10,59.4,68.88,59.01,62.22,01/08/2010
Sep-10,62.8,71.74,62.51,70.3,01/09/2010
Oct-10,70.9,76,68.21,71.86,01/10/2010
Nov-10,72.2,77.6,58,61.21,01/11/2010
Dec-10,61.8,68.36,55.44,62.54,01/12/2010
Jan-11,62.98,63.54,49.39,52.59,01/01/2011
Feb-11,53,57.69,46.71,51.29,01/02/2011
Mar-11,51.84,65.2,50.8,61.98,01/03/2011
Apr-11,62,68.26,60.5,61.02,01/04/2011
May-11,61.26,61.68,54.5,60.07,01/05/2011
Jun-11,60.4,63.39,54.8,62.38,01/06/2011
Jul-11,63,68,61.36,62.13,01/07/2011
Aug-11,62.9,63.96,50.51,55.61,01/08/2011
Sep-11,56,60.08,51.2,54.5,01/09/2011
Oct-11,53.8,64.8,48.1,62.9,01/10/2011
Nov-11,62.2,63.7,52.04,54.49,01/11/2011
Dec-11,57,59.8,47.4,47.72,01/12/2011
Jan-12,47.92,66.5,46.11,65.99,01/01/2012
Feb-12,65.9,74.8,63.6,69.14,01/02/2012
Mar-12,69,77.88,66.2,73.46,01/03/2012
Apr-12,73.62,76.1,69.11,70.07,01/04/2012
May-12,70.4,70.59,58.85,66.02,01/05/2012
